admin3_pcode,battles,explosions_remote_violence,protests_and_riots,strategic_developments,violence_against_civilians,fatalities,conflict_score,index_battles,index_explosions_remote_violence,index_violence_against_civilians,index_fatalities,index_strategic_developments,index_protests_and_riots,env_battles,env_explosions_remote_violence,env_violence_against_civilians,env_fatalities,score_env,admin1,admin3,old_conflict_score
MMR001001,17,39,20,37,19,24,0.22731315136048894,0.08900523560209424,0.37500000000000006,0.2714285714285714,0.026258205689277912,0.22023809523809526,0.5714285714285714,0.08900523560209424,0.375,0.2714285714285714,0.0262582056892779,0.1904230031799859,Kachin,Myitkyina,0.25752871754408524
MMR001002,40,37,2,14,7,11,0.14864631841816503,0.20942408376963348,0.3557692307692308,0.09999999999999999,0.012035010940919043,0.08333333333333334,0.05714285714285714,0.2094240837696335,0.3557692307692308,0.1,0.012035010940919038,0.16930708136994585,Kachin,Waingmaw,0.1692582037413074
MMR001003,9,1,0,1,0,0,0.007162467816979925,0.047120418848167533,0.009615384615384618,0,0,0.00595238095238096,0,0.04712041884816754,0.009615384615384616,0,0,0.014183950865888039,Kachin,Injangyang,0.016286323240568414
MMR001004,38,18,0,12,3,56,0.05764507428940019,0.19895287958115182,0.1730769230769231,0.04285714285714286,0.06126914660831511,0.07142857142857144,0,0.19895287958115182,0.17307692307692307,0.04285714285714286,0.061269146608315096,0.11903902303088322,Kachin,Tanai,0.11373356135653806
MMR001005,0,0,0,5,0,0,0.009989517431661769,0,0,0,0,0.02976190476190477,0,0,0,0,0,0,Kachin,Chipwi,0.004790880759903989
MMR001006,3,0,0,0,0,6,0.002854097546327071,0.015706806282722505,0,0,0.00656455142231948,0,0,0.015706806282722512,0,0,0.006564551422319475,0.005567839426260497,Kachin,Tsawlaw,NA
MMR001007,28,30,8,20,15,193,0.13672683849334163,0.14659685863874344,0.2884615384615385,0.21428571428571427,0.21115973741794314,0.11904761904761905,0.22857142857142856,0.14659685863874344,0.28846153846153844,0.21428571428571427,0.2111597374179431,0.21512596220098482,Kachin,Mohnyin,0.19701949455271053
MMR001008,13,7,6,9,5,14,0.0626221477573314,0.06806282722513088,0.06730769230769232,0.07142857142857142,0.015317286652078786,0.053571428571428575,0.17142857142857143,0.06806282722513089,0.0673076923076923,0.07142857142857142,0.015317286652078774,0.05552909440336835,Kachin,Mogaung,0.08506374755679742
MMR001009,93,84,11,30,24,194,0.2580445911629891,0.4869109947643978,0.8076923076923077,0.3428571428571429,0.21225382932166306,0.17857142857142858,0.3142857142857143,0.4869109947643979,0.8076923076923077,0.34285714285714286,0.212253829321663,0.4624285686588778,Kachin,Hpakant,0.4005326391057958
MMR001010,10,20,1,26,7,19,0.06832243790570439,0.05235602094240837,0.19230769230769235,0.09999999999999999,0.02078774617067835,0.1547619047619048,0.028571428571428577,0.05235602094240838,0.19230769230769232,0.1,0.020787746170678335,0.09136286485519476,Kachin,Bhamo,0.08732515786341417
