admin3_pcode,battles,explosions_remote_violence,protests_and_riots,strategic_developments,violence_against_civilians,fatalities,conflict_score,index_battles,index_explosions_remote_violence,index_violence_against_civilians,index_fatalities,index_strategic_developments,index_protests_and_riots,env_battles,env_explosions_remote_violence,env_violence_against_civilians,env_fatalities,score_env,admin1,admin3
MMR001001,20,42,21,43,24,54,0.26609480360432236,0.10050251256281408,0.3471074380165289,0.2926829268292683,0.04891304347826088,0.20975609756097563,0.6,0.10050251256281408,0.34710743801652894,0.2926829268292683,0.04891304347826087,0.19730148022171803,Kachin,Myitkyina
MMR001002,53,41,2,15,8,30,0.15672872738317978,0.2663316582914573,0.33884297520661155,0.0975609756097561,0.027173913043478274,0.07317073170731708,0.05714285714285714,0.2663316582914573,0.33884297520661155,0.0975609756097561,0.02717391304347826,0.18247738053782578,Kachin,Waingmaw
MMR001003,10,1,0,1,0,10,0.010090404630328547,0.05025125628140704,0.008264462809917364,0,0.009057971014492761,0.004878048780487804,0,0.05025125628140704,0.008264462809917356,0,0.009057971014492754,0.016893422526454288,Kachin,Injangyang
MMR001004,41,19,0,12,3,58,0.05977003177490971,0.20603015075376885,0.15702479338842976,0.036585365853658534,0.05253623188405798,0.05853658536585366,0,0.20603015075376885,0.15702479338842976,0.036585365853658534,0.05253623188405797,0.11304413546997878,Kachin,Tanai
MMR001005,0,0,0,5,0,0,0.007011454181775862,0,0,0,0,0.024390243902439036,0,0,0,0,0,0,Kachin,Chipwi
MMR001006,3,0,0,0,0,6,0.0028374546694445,0.015075376884422119,0,0,0.005434782608695659,0,0,0.01507537688442211,0,0,0.005434782608695652,0.0051275398732794405,Kachin,Tsawlaw
MMR001007,30,34,8,24,18,201,0.1583860701674368,0.15075376884422112,0.2809917355371901,0.21951219512195122,0.18206521739130438,0.11707317073170732,0.2285714285714286,0.1507537688442211,0.2809917355371901,0.21951219512195122,0.18206521739130435,0.2083307292236667,Kachin,Mohnyin
MMR001008,15,12,6,12,9,18,0.08796679598762684,0.07537688442211056,0.09917355371900827,0.10975609756097561,0.01630434782608697,0.05853658536585366,0.17142857142857143,0.07537688442211055,0.09917355371900827,0.10975609756097561,0.016304347826086956,0.07515272088204535,Kachin,Mogaung
MMR001009,109,91,11,44,39,235,0.3268322298840014,0.5477386934673367,0.7520661157024794,0.475609756097561,0.21286231884057977,0.2146341463414634,0.31428571428571433,0.5477386934673367,0.7520661157024794,0.47560975609756095,0.2128623188405797,0.49706922102698914,Kachin,Hpakant
MMR001010,12,21,1,31,8,22,0.07847541689991762,0.06030150753768845,0.17355371900826444,0.0975609756097561,0.01992753623188407,0.15121951219512197,0.028571428571428567,0.06030150753768844,0.17355371900826447,0.0975609756097561,0.019927536231884056,0.08783593459689826,Kachin,Bhamo
