,,,,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year,Data Year
Source Name,Indicator_Name.,Indicator Type,Unit,2005-2011,2005-2012,2005-2013,2005-2014,2005-2015,2007-2016,2007-2017,2008-2018,2009-2017,2009-2019,2010-2011,2010-2015,2010-2016,2010-2018,2010-2019,2011,2011-2012,2011-2020,2012,2012-2013,2012-2017,2013,2013-2014,2013-2018,2014,2014-2015,2015,2015-2016,2015-2020,2016,2016-2017,2017,2017-2018,2018,2018-2019,2019,2019-2020,2020,2021,2022
ADB_Basic Statistics,Adolescent Fertility Rate (15-19 yr),Total,Percent,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,
ADB_Basic Statistics,Age dependency ratio,Total,Percent,,,,,,,,,,,,,,,,44,,,44,,,43,,,,,98,,,49,,48,,47,,,,46,,
ADB_Basic Statistics,Birth registration,Total,Percent,,,,,,,,,,,,,,,,,,,,,,72,,,81,,,,,81,,,,,,,,,,
ADB_Basic Statistics,Carbon dioxide emissions per capita,Total,Metric tons,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
ADB_Basic Statistics,Children Immunized (Measles),Total,Percent,,,,,,,,,,,,,,,,99,,,84,,,86,,,86,,,,,,,,,,,,,,,
ADB_Basic Statistics,Contraceptive prevalence rate - any method,15-49 yr Female,Percent,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,
ADB_Basic Statistics,Death rate associated with malaria,Total,"Per 100,000 population",,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,
ADB_Basic Statistics,Death rate associated with tuberculosis,Total,"Per 100,000 population",,,,,,,,,,,,,,,,48,,,48,,,49,,,53,,,,,,,,,,,,,,,
ADB_Basic Statistics,Debt service as a percentage of exports of goods and services,Total,Percent,,,,,,,,,,,,,,,,,,,0,,,8,,,,,0,,,1,,5,,5,,3,,,,
