state,admin1_pcode,district,township,admin3_pcode,population_2021_proj,population_density,fs_pin,fs_targeted,flood_prob
Mon,MMR011,Thaton,Thaton,MMR011007,229296.140236455,192.68022920470952,55490,10000,0.6
Kayin,MMR003,Hpa-An,Hpa-An,MMR003001,437422.79044545017,145.4624394076633,134831,15000,0.5333333333333333
Kayin,MMR003,Hpa-An,Hlaingbwe,MMR003002,275878.0378153535,61.546285153184904,90664,15000,0.5333333333333333
Kayin,MMR003,Kawkareik,Kyainseikgyi,MMR003007,264429.2491780408,35.43072285222603,81444,5000,0.5333333333333333
Sagaing,MMR005,Katha,Katha,MMR005020,176162.5379959527,74.3807331231189,26935,2694.4748777349478,0.5333333333333333
Bago (West),MMR111,Thayarwady,Monyo,MMR008013,129353.79891566637,193.99912522394698,30398,3040.1857368292294,0.4666666666666667
Kayin,MMR003,Kawkareik,Kawkareik,MMR003006,228625.06669591743,91.35106673625347,70417,5000,0.4666666666666667
Magway,MMR009,Magway,Magway,MMR009001,287573.41447282815,163.42058132727695,60390,6038.958296358604,0.4666666666666667
Magway,MMR009,Magway,Yenangyaung,MMR009002,133450.36147114506,130.6205741023698,28025,2801.542483822312,0.4666666666666667
Magway,MMR009,Minbu,Minbu,MMR009007,187093.17739622458,112.83233123672709,39290,3929.0432751559238,0.4666666666666667
Mandalay,MMR010,Pyinoolwin,Thabeikkyin,MMR010012,174366.9984594045,63.41473935928963,20575,2058.469525275091,0.4666666666666667
Mon,MMR011,Thaton,Bilin,MMR011010,174375.27232961828,90.78457704298245,43029,5000,0.4666666666666667
Bago (West),MMR111,Pyay,Shwedaung,MMR008006,123372.31377179622,174.05978073694982,28992,2898.750647812207,0.4
Bago (West),MMR111,Thayarwady,Okpho,MMR008010,128433.10243988504,120.47235131181279,30182,3017.822103149499,0.4
Kachin,MMR001,Bhamo,Bhamo,MMR001010,154328.6819752977,63.004686533287,47502,11875.51480958475,0.4
Kachin,MMR001,Bhamo,Shwegu,MMR001011,107655.37796938862,30.685977544347146,30515,7629.27225272046,0.4
Kayin,MMR003,Myawaddy,Myawaddy,MMR003005,218454.5912361622,67.0896661511683,67353,5000,0.4
Magway,MMR009,Magway,Chauk,MMR009003,184117.4949189052,184.62923089516073,38665,3865.532663203272,0.4
Magway,MMR009,Pakokku,Pakokku,MMR009018,288460.2533534726,220.2297772133342,60577,6058.334698067766,0.4
Magway,MMR009,Pakokku,Yesagyo,MMR009019,214105.97155217687,216.8788872678808,44962,4495.77460870406,0.4
Mandalay,MMR010,Kyaukse,Sintgaing,MMR010014,158619.83773306131,332.077142416661,18717,1872.2859584249468,0.4
Mandalay,MMR010,Nyaung-U,Nyaung-U,MMR010022,255579.27318749158,163.912737162968,30158,3016.1645853686555,0.4
Mandalay,MMR010,Pyinoolwin,Singu,MMR010010,167851.48289101702,104.41697839792185,19806,1981.3525646218368,0.4
Mon,MMR011,Mawlamyine,Mawlamyine,MMR011001,278680.7196406106,2082.624832369358,44000.17344512815,0,0.4
Mon,MMR011,Thaton,Paung,MMR011008,210376.07410109657,224.22771431560597,34003.99336600171,0,0.4
Sagaing,MMR005,Katha,Tigyaing,MMR005022,136485.16475648366,70.86822584231655,20869,2087.141840512734,0.4
Sagaing,MMR005,Sagaing,Sagaing,MMR005001,322630.3235904986,242.40491576393907,49330,4932.98235236441,0.4
Ayeyarwady,MMR017,Hinthada,Hinthada,MMR017008,338333.0329836413,334.2440733430459,102515,13327.061831061234,0.3333333333333333
Ayeyarwady,MMR017,Hinthada,Myanaung,MMR017011,218515.143772356,142.09033450575592,66210,8606.688498081088,0.3333333333333333
Ayeyarwady,MMR017,Hinthada,Ingapu,MMR017013,214319.40828568256,127.48400230202388,64939,8441.9585078309,0.3333333333333333
Ayeyarwady,MMR017,Pathein,Yegyi,MMR017006,194041.51964815924,149.10428427405347,58795,7642.704552480257,0.3333333333333333
Bago (East),MMR111,Bago,Nyaunglebin,MMR007005,202272.3514078065,272.60480880889247,47534,4752.599775620112,0.3333333333333333
Bago (East),MMR111,Bago,Shwegyin,MMR007008,108964.63070530172,44.02676370751646,25607,2561.331221257637,0.3333333333333333
Bago (East),MMR111,Taungoo,Kyaukkyi,MMR007011,114913.6683962809,56.02159696830596,28928,8000,0.3333333333333333
Kachin,MMR001,Myitkyina,Myitkyina,MMR001001,360733.65404065774,50.989516386777474,103166,25791.498650643873,0.3333333333333333
Magway,MMR009,Minbu,Pwintbyu,MMR009008,162744.87673817252,135.82845401698512,34176,3418.3576259129213,0.3333333333333333
Magway,MMR009,Minbu,Salin,MMR009010,234667.31111563844,101.61819908204654,49280,4927.986466608758,0.3333333333333333
Magway,MMR009,Pakokku,Seikphyu,MMR009022,102174.37771855226,67.26112110071672,21457,2146.3381211759756,0.3333333333333333
Magway,MMR009,Thayet,Thayet,MMR009012,103743.24739753983,86.51524405027018,21786,2179.391875114487,0.3333333333333333
Magway,MMR009,Thayet,Minhla,MMR009013,145236.76834338708,61.29720086114784,30500,3050.027865043446,0.3333333333333333
Magway,MMR009,Thayet,Kamma,MMR009015,74759.92110993135,65.45472779822003,15700,1570.0416577967449,0.3333333333333333
Mandalay,MMR010,Kyaukse,Tada-U,MMR010016,147647.73934006476,147.76282840464387,17422,1741.7567097702458,0.3333333333333333
Mandalay,MMR010,Myingyan,Myingyan,MMR010017,294083.33927898115,279.32558084224723,34702,3469.816606201124,0.3333333333333333
Mandalay,MMR010,Myingyan,Taungtha,MMR010018,230755.97903655615,160.19174577491975,27229,2723.079449686694,0.3333333333333333
Mon,MMR011,Mawlamyine,Kyaikmaraw,MMR011002,188565.08118107164,148.5770092854094,24000.13167079307,0,0.3333333333333333
Rakhine,MMR012,Kyaukpyu,Ann,MMR012014,123930.35613315948,19.007167244878108,51962,1000,0.3333333333333333
Rakhine,MMR012,Mrauk-U,Minbya,MMR012005,175167.54682476277,56.75619923844645,71821,50000,0.3333333333333333
Sagaing,MMR005,Hkamti,Hkamti,MMR005033,50052.78736458388,5.819129158021152,7653,764.6930044427131,0.3333333333333333
Sagaing,MMR005,Hkamti,Homalin,MMR005034,271180.7044831875,24.204882557349205,41464,4145.647058499893,0.3333333333333333
Sagaing,MMR005,Kale,Mingin,MMR005029,109607.18132800513,26.317487207013436,16759,1676.1062042242897,0.3333333333333333
