objectid,state,admin1_pcode,dt,dt_pcode,township,admin3_pcode,self_admin,st_rg,p_code_v,floodyears,no_of_flo,storm_surg,year_2008_storm_surge,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,flood_prob,flood_count
173,Yangon,MMR013,Yangon (West),MMR013D004,Ahlone,MMR013037,NA,Region,9.3,2008,1,2008,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13333333333333333,2
116,Mandalay,MMR010,Mandalay,MMR010D001,Amarapura,MMR010006,NA,Region,9.3,"2016,2020,2021",3,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0.2,3
294,Rakhine,MMR012,Kyaukpyu,MMR012D003,Ann,MMR012014,NA,State,9.3,"2010,2011,2015,2017",4,2010,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0.3333333333333333,5
193,Magway,MMR009,Thayet,MMR009D003,Aunglan,MMR009016,NA,Region,9.3,"2015,2016,2017,2020",4,NA,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0.26666666666666666,4
54,Mandalay,MMR010,Mandalay,MMR010D001,Aungmyaythazan,MMR010001,NA,Region,9.3,2011,1,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.06666666666666667,1
258,Sagaing,MMR005,Monywa,MMR005D003,Ayadaw,MMR005014,NA,Region,9.3,2015,1,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.06666666666666667,1
143,Bago (East),MMR007,Bago,MMR007D001,Bago,MMR007001,NA,Region,9.3,"2011,2015,2018,2019",4,NA,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0.26666666666666666,4
89,Yangon,MMR013,Yangon (West),MMR013D004,Bahan,MMR013044,NA,Region,9.3,2008,1,2008,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13333333333333333,2
168,Sagaing,MMR005,Katha,MMR005D004,Banmauk,MMR005023,NA,Region,9.3,"2011,2015",2,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.13333333333333333,2
192,Kayah,MMR002,Bawlake,MMR002D002,Bawlake,MMR002005,NA,State,9.3,2020,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.06666666666666667,1
231,Kachin,MMR001,Bhamo,MMR001D003,Bhamo,MMR001010,NA,State,9.3,"2015,2016,2017,2019,2020,2021",6,NA,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0.4,6
288,Mon,MMR011,Thaton,MMR011D002,Bilin,MMR011010,NA,State,9.3,"2012,2013,2015,2017,2018,2019,2021",7,NA,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0.4666666666666667,7
277,Ayeyarwady,MMR017,Pyapon,MMR017D006,Bogale,MMR017024,NA,Region,9.3,"2008,2015",2,2008,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.2,3
85,Yangon,MMR013,Yangon (East),MMR013D002,Botahtaung,MMR013017,NA,Region,9.3,2008,1,2008,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13333333333333333,2
122,Sagaing,MMR005,Monywa,MMR005D003,Budalin,MMR005013,NA,Region,9.3,2015,1,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.06666666666666667,1
302,Rakhine,MMR012,Maungdaw,MMR012D002,Buthidaung,MMR012010,NA,State,9.3,2015,1,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.06666666666666667,1
199,Magway,MMR009,Magway,MMR009D001,Chauk,MMR009003,NA,Region,9.3,"2015,2016,2017,2019,2020,2021",6,NA,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0.4,6
55,Sagaing,MMR005,Monywa,MMR005D003,Chaung-U,MMR005015,NA,Region,9.3,2015,1,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.06666666666666667,1
325,Mon,MMR011,Mawlamyine,MMR011D001,Chaungzon,MMR011003,NA,State,9.3,"2012,2013,2015,2018",4,NA,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0.26666666666666666,4
8,Yangon,MMR013,Yangon (West),MMR013D004,Dagon,MMR013043,NA,Region,9.3,2008,1,2008,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13333333333333333,2
92,Yangon,MMR013,Yangon (East),MMR013D002,Dagon Myothit (East),MMR013020,NA,Region,9.3,"2008,2015,2019",3,2008,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.26666666666666666,4
