month_of_implementation,donor,reporting_organization_type,implementing_partner_type,state,township,village_tract_town,village_ward,idp_camp_site_name,specify_location,location_combined,location_type,rural_or_urban,humanitarian_or_development,response_plan_if_project_under_fts,project_code,activity,activity_description,was_nutrition_mainstreamed_in_activity,fsc_objectives,hrp_indicator,activity_status,conditionality,frequency,delivery_modality,type_of_in_kind_assistance,unit,quantity,total_value,value_per_household,value_per_individual,currency,value_per_household_usd,cash_delivery_mechanism,food_insecurity_status,food_security_indicator_used,evidence,beneficiary_type,child_male,child_female,adult_male,adult_female,elderly_male,elderly_female,reached_households,reached_beneficiaries,new_beneficiaries,people_with_disability_male,people_with_disability_female,total_number_of_people_with_disability,comments,cluster_name,country,admin1_pcode,admin2_pcode,admin3_pcode,adm1_3,adm3_4,org_code,report_org_code,location,date,admin4_pcode,total_value_usd,admin3_pcode_old
January 2022,FCDO,NNGO,NNGO,Kachin,WaingMaw,NA,NA,Border Post 8,NA,"Border Post 8food distributions (in kind/voucher/cash), severe",Camp/IDP site,Rural,Humanitarian,HRP,HARP-DEL-029,"food distributions (in kind/voucher/cash), severe","Food distribution amount calculation is followed on averages MEB for Kachin. Depending on vonerable situation analysis of one per the distrubution is divided into rice-13.5kg, oil-1 liter, salt-0.15kg, chickpeas-1.8kg.",No,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Completed,Conditional,One-off,In-kind,Food Baskets,Kg,323,20159060,NA,NA,MMK,NA,Other,NA,NA,NA,Internally Displaced,72,81,64,65,18,23,89,323,323,3,5,8,Jan to March,NA,NA,MMR001,NA,MMR001002,Kachin-WaingMaw,WaingMaw-,org_6130,org_6130,Border Post 8,2022-01-01,NA,11350.822072072073,MMR001002
March 2022,FCDO,NNGO,NNGO,Kachin,Waingmaw,NA,NA,Sha-It Yang,NA,"Sha-It Yangfood distributions (in kind/voucher/cash), severe",Camp/IDP site,Rural,Humanitarian,Non-HRP,NA,"food distributions (in kind/voucher/cash), severe",Monthly rice plus cash distribution to the Sha-it Yang  camp in NGCA for 3 months (Jan to Mar).,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Completed,Conditional,Monthly,Hybrid (In-kind & CBT/CVA),Emergency Food Rations (EFRs),Kg,56133,30713.76,NA,22.16,USD,NA,Direct cash payment,Food secure,FCS,community-based beneficiary selection,Internally Displaced,296,296,300,354,63,77,357,1386,1386,22,9,31,"This updated 5 W Template is not included HARP-F and Sha-it Yang camp in the list of the Reporting Orzation and Camp Name. Therefore, submitting in the cmommet.",FSL,SSD,MMR001,NA,MMR001002,Kachin-Waingmaw,Waingmaw-,org_2807,org_2807,Sha-It Yang,2022-03-01,NA,30713.76,MMR001002
March 2022,FCDO,NNGO,NNGO,Kachin,Waingmaw,NA,NA,Maga Yang,NA,"Maga Yang food distributions (in kind/voucher/cash), severe",Camp/IDP site,Rural,Humanitarian,Non-HRP,NA,"food distributions (in kind/voucher/cash), severe",Monthly rice plus cash distribution to the Maga Yang  camp in NGCA for 3 months (Jan to Mar).,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Completed,Conditional,Monthly,Hybrid (In-kind & CBT/CVA),Emergency Food Rations (EFRs),Kg,64921.5,35522.48,NA,22.16,USD,NA,Direct cash payment,Food secure,FCS,NA,Internally Displaced,327,351,288,405,110,122,432,1603,1603,15,21,36,For 3 moths (Jan-March 2022),FSL,SSD,MMR001,NA,MMR001002,Kachin-Waingmaw,Waingmaw-,org_2807,org_2807,Maga Yang,2022-03-01,NA,35522.48,MMR001002
March 2022,FCDO,NNGO,NNGO,Kachin,Waingmaw,NA,NA,Pajau - Jan Mai,NA,"Pajau - Jan Maifood distributions (in kind/voucher/cash), severe",Camp/IDP site,Rural,Humanitarian,Non-HRP,NA,"food distributions (in kind/voucher/cash), severe",Monthly rice plus cash distribution to the Pajau/Jan Mai  camp in NGCA for 3 months (Jan to Mar).,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Completed,Conditional,Monthly,Hybrid (In-kind & CBT/CVA),Emergency Food Rations (EFRs),Kg,30172.5,16509.2,NA,22.16,USD,NA,Direct cash payment,Food secure,FCS,NA,Internally Displaced,148,155,154,225,28,35,174,745,745,4,2,6,For 3 moths (Jan-March 2022). Camps Name is Pajau/Jan Mai.,FSL,SSD,MMR001,NA,MMR001002,Kachin-Waingmaw,Waingmaw-,org_2807,org_2807,Pajau - Jan Mai,2022-03-01,NA,16509.2,MMR001002
March 2022,FCDO,NNGO,NNGO,Kachin,Waingmaw,NA,NA,Hkau Shau (BP 12),NA,"Hkau Shau (BP 12)food distributions (in kind/voucher/cash), severe",Camp/IDP site,Rural,Humanitarian,Non-HRP,NA,"food distributions (in kind/voucher/cash), severe",Monthly All In-kind distribution to the Hkau Shau/Bp12 Mai  camp in NGCA for 3 months (Jan to Mar).,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Completed,Conditional,Monthly,In-kind,Emergency Food Rations (EFRs),Kg,33777,0,NA,NA,NA,NA,NA,Food secure,FCS,NA,Internally Displaced,176,161,213,222,33,29,138,834,834,14,17,31,For 3 moths (Jan-March 2022).,FSL,SSD,MMR001,NA,MMR001002,Kachin-Waingmaw,Waingmaw-,org_2807,org_2807,Hkau Shau (BP 12),2022-03-01,NA,NA,MMR001002
March 2022,FCDO,NNGO,NNGO,Kachin,Chipwi,NA,NA,Hpare Hkyer - BP6,NA,"Hpare Hkyer - BP6food distributions (in kind/voucher/cash), severe",Camp/IDP site,Rural,Humanitarian,Non-HRP,NA,"food distributions (in kind/voucher/cash), severe",Monthly rice plus cash distribution to the Hpare/Bp6  camp in NGCA for 3 months (Jan to Mar).,Yes,"Objective 1: Over 556,000 crisis-affected people 
(289,000 girls/women and 267,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of crisis-affected people that have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance",Completed,Conditional,Monthly,Hybrid (In-kind & CBT/CVA),Emergency Food Rations (EFRs),Kg,40459.5,22137.84,NA,22.16,USD,NA,Direct cash payment,Food secure,FCS,NA,Internally Displaced,264,275,158,246,19,37,166,999,999,2,4,6,For 3 moths (Jan-March 2022).,NA,NA,MMR001,NA,MMR001005,Kachin-Chipwi,Chipwi-,org_2807,org_2807,Hpare Hkyer - BP6,2022-03-01,NA,22137.84,MMR001005
March 2022,FCDO,NNGO,NNGO,Kachin,Waingmaw,NA,NA,Sha-It Yang,NA,"Sha-It Yangmulti-purpose cash transfer (MPC), moderate",Camp/IDP site,Rural,Humanitarian,Non-HRP,NA,"multi-purpose cash transfer (MPC), moderate",Multi-purpose cash distribution to the HH from Sha-it Yang Camp in NGCA.,No,"Objective 2: Over 2,944,000 vulnerable people with humanitarian needs (1,531,000 girls/women and 1,413,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Completed,Unconditional,One-off,CBT/CVA,NA,NA,NA,3570,10,NA,USD,10,Direct cash payment,Food secure,FCS,NA,Internally Displaced,296,296,300,354,63,77,357,1386,0,22,9,31,NA,NA,NA,MMR001,NA,MMR001002,Kachin-Waingmaw,Waingmaw-,org_2807,org_2807,Sha-It Yang,2022-03-01,NA,3570,MMR001002
March 2022,FCDO,NNGO,NNGO,Kachin,Waingmaw,NA,NA,Maga Yang,NA,"Maga Yang multi-purpose cash transfer (MPC), moderate",Camp/IDP site,Rural,Humanitarian,Non-HRP,NA,"multi-purpose cash transfer (MPC), moderate",Multi-purpose cash distribution to the HH from Maga Yang Camp in NGCA.,No,"Objective 2: Over 2,944,000 vulnerable people with humanitarian needs (1,531,000 girls/women and 1,413,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Completed,Unconditional,One-off,CBT/CVA,NA,NA,NA,4320,10,NA,USD,10,Direct cash payment,Food secure,FCS,NA,Internally Displaced,327,351,288,405,110,122,432,1603,0,15,21,36,NA,NA,NA,MMR001,NA,MMR001002,Kachin-Waingmaw,Waingmaw-,org_2807,org_2807,Maga Yang,2022-03-01,NA,4320,MMR001002
March 2022,FCDO,NNGO,NNGO,Kachin,Waingmaw,NA,NA,Pajau - Jan Mai,NA,"Pajau - Jan Maimulti-purpose cash transfer (MPC), moderate",Camp/IDP site,Rural,Humanitarian,Non-HRP,NA,"multi-purpose cash transfer (MPC), moderate",Multi-purpose cash distribution to the HH from Pajau/Jan Mai Camp in NGCA.,No,"Objective 2: Over 2,944,000 vulnerable people with humanitarian needs (1,531,000 girls/women and 1,413,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Completed,Unconditional,One-off,CBT/CVA,NA,NA,NA,1740,10,NA,USD,10,Direct cash payment,Food secure,FCS,NA,Internally Displaced,148,155,154,225,28,35,174,745,0,4,2,6,NA,NA,NA,MMR001,NA,MMR001002,Kachin-Waingmaw,Waingmaw-,org_2807,org_2807,Pajau - Jan Mai,2022-03-01,NA,1740,MMR001002
March 2022,FCDO,NNGO,NNGO,Kachin,Waingmaw,NA,NA,Hkau Shau (BP 12),NA,"Hkau Shau (BP 12)multi-purpose cash transfer (MPC), moderate",Camp/IDP site,Rural,Humanitarian,Non-HRP,NA,"multi-purpose cash transfer (MPC), moderate",Multi-purpose cash distribution to the HH from Hkau Shau Camp in NGCA.,No,"Objective 2: Over 2,944,000 vulnerable people with humanitarian needs (1,531,000 girls/women and 1,413,000 boys/men) have equitable access to sufficient, safe and nutritious food in-kind and/or through cash assistance.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Completed,Unconditional,One-off,CBT/CVA,NA,NA,NA,1380,10,NA,USD,10,Direct cash payment,Food secure,FCS,NA,Internally Displaced,176,161,213,222,33,29,138,834,0,14,17,31,NA,NA,NA,MMR001,NA,MMR001002,Kachin-Waingmaw,Waingmaw-,org_2807,org_2807,Hkau Shau (BP 12),2022-03-01,NA,1380,MMR001002
