admin1_pcode,state,admin2_pcode,district,admin3_pcode,township,Township_Name_MMR,MYAINFO_TS_ID,Source,Start_Date,Modified_End_Date,Notification,Notification_modified,GAD_Township_Status,Field_Township_Status,MIMU_Township_Mapping_Status,Change_Type,Remark
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,ဘိုကလေး,ASIMMR017024,GAD,NA,NA,NA,NA,Active,N/A,Active,NA,NA
MMR017,Ayeyarwady,MMR017D005,Maubin,MMR017022,Danubyu,ဓနုဖြူ,ASIMMR017022,GAD,NA,NA,NA,NA,Active,N/A,Active,NA,NA
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017026,Dedaye,ဒေးဒရဲ,ASIMMR017026,GAD,NA,NA,NA,NA,Active,N/A,Active,NA,NA
MMR017,Ayeyarwady,MMR017D003,Myaungmya,MMR017015,Einme,အိမ်မဲ,ASIMMR017015,GAD,NA,NA,NA,NA,Active,N/A,Active,NA,NA
MMR017,Ayeyarwady,MMR017D002,Hinthada,MMR017008,Hinthada,ဟင်္သာတ,ASIMMR017008,GAD,NA,NA,NA,NA,Active,N/A,Active,NA,NA
MMR017,Ayeyarwady,MMR017D002,Hinthada,MMR017013,Ingapu,အင်္ဂပူ,ASIMMR017013,GAD,NA,NA,NA,NA,Active,N/A,Active,NA,NA
MMR017,Ayeyarwady,MMR017D001,Pathein,MMR017002,Kangyidaunt,ကန်ကြီးထောင့်,ASIMMR017002,GAD,NA,NA,NA,NA,Active,N/A,Active,NA,NA
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017025,Kyaiklat,ကျိုက်လတ်,ASIMMR017025,GAD,NA,NA,NA,NA,Active,N/A,Active,NA,NA
MMR017,Ayeyarwady,MMR017D002,Hinthada,MMR017012,Kyangin,ကြံခင်း,ASIMMR017012,GAD,NA,NA,NA,NA,Active,N/A,Active,NA,NA
MMR017,Ayeyarwady,MMR017D001,Pathein,MMR017007,Kyaunggon,ကျောင်းကုန်း,ASIMMR017007,GAD,NA,NA,NA,NA,Active,N/A,Active,NA,NA
