state,admin1_pcode,township,admin3_pcode,total_population_2021proj,food_security_pin_2022,food_security_target_2022,conflict_events,battles,explosions_remote_violence,protests_and_riots,strategic_developments,violence_against_civilians,fatalities,conflict_score,flood_count,flood_prob,vul_score_2019,unsafe_water_2019,poor_housing_2019,no_middle_school_2019,no_electricity_2019,no_id_card_2019,female_illiteracy_2019,child_dependency_2019
Ayeyarwady,MMR017,Hinthada,MMR017008,338333.0329836413,102515,13327.061831061234,15,0,6,1,7,1,2,0.01406240563574569,5,0.3333333333333333,0.332222377623582,0.02677015757557577,0.03216663638926688,0.627442637741188,0.684030530254615,0.2682814999111427,0.07678203248262572,0.40576163817687577
Ayeyarwady,MMR017,Zalun,MMR017009,168152.32215033146,50950,6624.480065287993,14,1,5,0,6,2,2,0.00918125103695003,4,0.26666666666666666,0.37102751307231385,0.02166332203523458,0.03588858429451996,0.6998674232380548,0.7679327442332531,0.287629143701719,0.08514913379202084,0.4481743726803673
Ayeyarwady,MMR017,Lemyethna,MMR017010,102992.95991876331,31207,4057.107311638337,2,0,1,0,1,0,0,0.00111735712860333,3,0.2,0.3608372399489565,0.04568696244528764,0.03820337937800069,0.646723793791727,0.8385027594037529,0.3101799107566695,0.08954218072794003,0.4424883855690464
Ayeyarwady,MMR017,Myanaung,MMR017011,218515.143772356,66210,8606.688498081088,24,0,6,2,13,3,2,0.02444222621344768,5,0.3333333333333333,0.35389419442576747,0.03489672254729341,0.03468731716781149,0.6558041828898566,0.7519033774781563,0.2579039396754276,0.07917836948310814,0.3899672196180233
Ayeyarwady,MMR017,Kyangin,MMR017012,96054.05117132452,29104,3784.430973441061,15,0,5,0,9,1,0,0.00844809805679392,2,0.13333333333333333,0.3073897371131664,0.04681012928587929,0.03553074148584432,0.6328075401670167,0.7073936983166887,0.19091052433684672,0.05157151408607242,0.31754650412733865
Ayeyarwady,MMR017,Ingapu,MMR017013,214319.40828568256,64939,8441.9585078309,12,1,0,1,6,4,3,0.01367419723013606,5,0.3333333333333333,0.34259032828864555,0.04859528806416198,0.0377802506642503,0.5755799990393391,0.7881384663141185,0.35676196160798246,0.07409870368259158,0.4170534505998284
Ayeyarwady,MMR017,Labutta,MMR017016,315123.0280291265,95482,12413.303933374356,12,0,5,1,4,2,2,0.01316676782172232,3,0.2,0.4824533970897237,0.4339396845662667,0.4185457369139611,0.7180746871240608,0.892965747986658,0.4059090964993912,0.13770422447690917,0.49451794452826664
Ayeyarwady,MMR017,Mawlamyinegyun,MMR017018,311246.19643100415,94308,12260.01232259513,18,3,7,1,4,3,4,0.017917925173035,2,0.13333333333333333,0.44967336136963415,0.3812308721339207,0.3968165642745529,0.6118970689350931,0.927246427863884,0.313750161833247,0.09805034293324869,0.45523894315439334
Ayeyarwady,MMR017,Maubin,MMR017019,313998.3669801612,95142,12367.604337309436,66,2,17,2,35,10,12,0.05202528675788574,4,0.26666666666666666,0.4112567370320019,0.2844869955741401,0.22405559652484364,0.6953411072033975,0.7668540786797804,0.3307786245014155,0.09827852948226372,0.4598714055593703
Ayeyarwady,MMR017,Pantanaw,MMR017020,264516.27992181526,80148,10418.703742303838,8,0,1,1,5,1,0,0.00951572965892716,4,0.26666666666666666,0.4229499296761251,0.15231244857070228,0.2019170667935496,0.705074412514256,0.826101502917433,0.3655893821235753,0.12705848115583082,0.430768616729999
